Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000040,E09000002,Barking and Dagenham,Valence,"Ward, Christopher C.",UKIP,UK Independence Party (UKIP),1004,,3
E05000040,E09000002,Barking and Dagenham,Valence,"Hollis, Alexander O.",GRE,Green Party,350,,3
E05000040,E09000002,Barking and Dagenham,Valence,"Chowdhury, Ahia A.",CON,Conservative Party,279,,3
E05000040,E09000002,Barking and Dagenham,Valence,"Ali, Mobarock",CON,Conservative Party,223,,3
E05000040,E09000002,Barking and Dagenham,Valence,"Miah, Istor",CON,Conservative Party,166,,3
E05000041,E09000002,Barking and Dagenham,Village,"Waker, Lee R.*",LAB,Labour Party,2031,Yes,3
E05000041,E09000002,Barking and Dagenham,Village,"Waker, Philip T.*",LAB,Labour Party,1892,Yes,3
E05000041,E09000002,Barking and Dagenham,Village,"Mullane, Margaret Ms.*",LAB,Labour Party,1889,Yes,3
E05000041,E09000002,Barking and Dagenham,Village,"Harris, Peter J.",UKIP,UK Independence Party (UKIP),1082,,3
E05000041,E09000002,Barking and Dagenham,Village,"Watson, Christine R.",LD,Liberal Democrats,190,,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"White, John R.*",LAB,Labour Party,1625,Yes,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"Bartlett, Melanie Ms.",LAB,Labour Party,1620,Yes,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"Smith, Liam A.",LAB,Labour Party,1526,Yes,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"Bedwell, Albert E.",UKIP,UK Independence Party (UKIP),867,,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"Ahmed, Juhel",CON,Conservative Party,515,,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"Cockling, Jean M. Ms.",CON,Conservative Party,514,,3
E05000042,E09000002,Barking and Dagenham,Whalebone,"George, William H.",LD,Liberal Democrats,204,,3
E05000043,E09000003,Barnet,Brunswick Park,"Levine, Kathy Ms.",LAB,Labour Party,1951,Yes,3
E05000043,E09000003,Barnet,Brunswick Park,"Ioannidis, Andreas*",LAB,Labour Party,1944,Yes,3
E05000043,E09000003,Barnet,Brunswick Park,"Rutter, Lisa Ms.*",CON,Conservative Party,1899,Yes,3
E05000043,E09000003,Barnet,Brunswick Park,"Tambourides, Andreas*",CON,Conservative Party,1876,,3
